ID,x0,y0,x1,y1
1,903,619,997,660
2,902,570,998,616
3,904,525,997,571
4,903,475,995,522
5,902,427,995,476
6,900,381,994,427
7,899,334,994,378
8,899,285,993,334
9,894,236,994,285
10,898,190,996,237
11,899,147,996,190
12,739,86,849,136
13,740,138,850,187
14,741,187,851,231
15,742,233,850,279
16,742,282,851,329
17,742,330,851,377
18,743,378,850,424
19,744,424,852,471
20,745,473,853,517
21,743,516,853,565
22,745,566,852,614
23,745,612,854,661
24,503,93,614,141
25,505,144,613,188
26,504,188,610,236
27,504,239,613,282
28,503,284,614,331
29,504,331,612,379
30,505,381,611,427
31,506,428,612,473
32,509,523,618,567
33,508,570,619,618
34,507,618,619,665
35,394,92,505,143
36,392,145,505,190
37,394,189,500,236
38,397,236,502,284
39,399,283,503,331
40,401,331,503,380
41,403,379,504,427
42,402,427,502,472
43,402,525,506,570
44,403,569,509,618
45,402,617,506,663
46,156,97,251,147
47,156,146,255,191
48,157,191,250,242
49,156,241,249,285
50,155,285,247,334
51,157,336,250,380
52,157,380,257,429
53,159,431,261,477
54,162,478,261,522
55,160,521,260,570
56,162,572,261,621
57,162,620,260,667
58,45,88,154,147
59,46,147,154,192
60,45,193,155,242
61,46,240,153,289
62,48,288,152,336
63,48,338,159,384
64,50,385,159,430
65,51,431,159,479
66,51,480,159,525
67,54,525,157,573
68,55,573,159,621
69,56,622,160,668
